distance_band,trip_count,avg_valid_fare_amount,median_valid_fare_amount,avg_total_amount_for_valid_fare,avg_trip_duration_min,avg_fare_per_mile
0-<2,46357514,10.758382630062618,10.0,17.79265886329561,9.59623488653857,26.025474720746388
2-<5,24862296,19.66352367175508,18.51,27.52516214392506,18.90169007654536,6.686095865355114
5-<10,8862332,34.15097447641342,33.1,46.182519855837334,27.841952084394944,4.815327220249913
10-<20,6227351,60.46106214903285,63.9,80.11552000961223,45.03836695838514,4.151881384572325
20+,830970,92.45200147430893,70.0,116.12990436982665,57.12595671323874,3.7226264107945677
Invalid/Non-positive,2151347,27.04825468090223,18.0,33.49419809663075,12.694362485456786,
