passenger_category,trip_count,share_pct,avg_valid_fare_amount,avg_valid_trip_distance,avg_trip_duration_min
Missing,15698835,17.581494876181814,21.087661332602835,19.099497720193174,18.048639539175994
0,656204,0.7348983070227829,16.949578035246645,2.7532541381132245,14.72742589702796
1,57570888,64.4749927232968,19.222363530612284,3.4577932408364593,16.43471663432856
2,10457033,11.71107742132229,22.515324658948828,4.045016932383728,18.172986279505217
3,2469035,2.765130419016033,22.440713016515613,3.915510077459538,18.00953827440006
4,1634036,1.8299953825552422,25.90157923863209,4.215539460739325,18.74782835261892
5,491024,0.5499093365897724,18.61199742860705,3.2198556517285537,15.457938783711862
6,314330,0.3520255665105232,18.18573539170271,3.105422748730283,15.561909246121377
7+,425,0.00047596750474651595,77.88673123486682,6.660808510638299,12.060156862745094
