pickup_Borough,trip_count,avg_valid_trip_distance,avg_valid_fare_amount,avg_trip_duration_min
Bronx,503636,41.45021945649968,29.693508867131836,31.446921917151702
Brooklyn,2363635,24.05009543790498,27.351588499872427,27.181620470165683
EWR,11953,3.896694277108432,87.93292380542404,2.0449273543601323
Manhattan,77669263,4.496762474489091,16.402601615278595,14.644370429180018
N/A,45621,18.979046817625466,94.14753700234192,7.650225042560825
Queens,8489722,14.537441637743422,51.36056543312389,34.795076560418096
Staten Island,6538,89.3472640868975,35.81439255617978,24.52618537779138
Unknown,201442,3.940998604418458,21.53729552994324,16.65124998758951
