passenger_group,trip_count,avg_valid_trip_distance,avg_valid_fare_amount
0,656204,2.753254138113226,16.94957803524664
1-6,72936346,3.5709780151324844,19.93938296320046
7+,425,6.660808510638298,77.88673123486683
Missing,15698835,19.099497720196688,21.087661332598355
