distance_band,trip_count,avg_trip_duration_min,avg_valid_fare_amount
0-<2,46357514,9.596234886538548,10.758382630063252
10-<20,6227351,45.038366958385154,60.46106214903423
2-<5,24862296,18.90169007654532,19.663523671755964
20+,830970,57.1259567132388,92.45200147430883
5-<10,8862332,27.841952084394844,34.150974476413026
Invalid/Non-positive,2151347,12.694362485456903,27.04825468090313
