payment_type,trip_count,avg_valid_fare_amount,avg_tip_amount_valid_fare,avg_total_amount_valid_fare
0,15698835,21.087661332598355,0.5106299860975363,26.089230957811548
1,61009926,19.892294513882707,4.353987500832088,30.101194943139493
2,10103824,19.626582644245488,0.00025165927332510934,25.10693410491539
3,593480,19.629910183847286,0.00901162090558767,24.935801245383864
4,1885743,24.064792469221768,0.011698628432930453,29.96405681690338
5,2,51.8,0.0,71.99
