month,column,null_count
2024-12,mta_tax,0
2024-12,tip_amount,0
2024-12,tolls_amount,0
2024-12,improvement_surcharge,0
2024-12,total_amount,0
2024-12,congestion_surcharge,326291
2024-12,Airport_fee,326291
2025-01,VendorID,0
2025-01,tpep_pickup_datetime,0
2025-01,tpep_dropoff_datetime,0
2025-01,passenger_count,540149
2025-01,trip_distance,0
2025-01,RatecodeID,540149
2025-01,store_and_fwd_flag,540149
2025-01,PULocationID,0
2025-01,DOLocationID,0
2025-01,payment_type,0
2025-01,fare_amount,0
2025-01,extra,0
2025-01,mta_tax,0
2025-01,tip_amount,0
2025-01,tolls_amount,0
2025-01,improvement_surcharge,0
2025-01,total_amount,0
2025-01,congestion_surcharge,540149
2025-01,Airport_fee,540149
2025-01,cbd_congestion_fee,0
2025-02,VendorID,0
2025-02,tpep_pickup_datetime,0
2025-02,tpep_dropoff_datetime,0
2025-02,passenger_count,806937
2025-02,trip_distance,0
2025-02,RatecodeID,806937
2025-02,store_and_fwd_flag,806937
2025-02,PULocationID,0
2025-02,DOLocationID,0
2025-02,payment_type,0
2025-02,fare_amount,0
2025-02,extra,0
2025-02,mta_tax,0
2025-02,tip_amount,0
2025-02,tolls_amount,0
2025-02,improvement_surcharge,0
2025-02,total_amount,0
2025-02,congestion_surcharge,806937
2025-02,Airport_fee,806937
2025-02,cbd_congestion_fee,0
2025-03,VendorID,0
2025-03,tpep_pickup_datetime,0
2025-03,tpep_dropoff_datetime,0
2025-03,passenger_count,916663
2025-03,trip_distance,0
2025-03,RatecodeID,916663
2025-03,store_and_fwd_flag,916663
2025-03,PULocationID,0
2025-03,DOLocationID,0
2025-03,payment_type,0
2025-03,fare_amount,0
2025-03,extra,0
2025-03,mta_tax,0
2025-03,tip_amount,0
2025-03,tolls_amount,0
2025-03,improvement_surcharge,0
2025-03,total_amount,0
2025-03,congestion_surcharge,916663
2025-03,Airport_fee,916663
2025-03,cbd_congestion_fee,0
2025-04,VendorID,0
2025-04,tpep_pickup_datetime,0
2025-04,tpep_dropoff_datetime,0
2025-04,passenger_count,745730
2025-04,trip_distance,0
2025-04,RatecodeID,745730
2025-04,store_and_fwd_flag,745730
2025-04,PULocationID,0
2025-04,DOLocationID,0
2025-04,payment_type,0
2025-04,fare_amount,0
2025-04,extra,0
2025-04,mta_tax,0
2025-04,tip_amount,0
2025-04,tolls_amount,0
2025-04,improvement_surcharge,0
2025-04,total_amount,0
2025-04,congestion_surcharge,745730
2025-04,Airport_fee,745730
2025-04,cbd_congestion_fee,0
2025-05,VendorID,0
2025-05,tpep_pickup_datetime,0
2025-05,tpep_dropoff_datetime,0
2025-05,passenger_count,1196176
2025-05,trip_distance,0
2025-05,RatecodeID,1196176
2025-05,store_and_fwd_flag,1196176
2025-05,PULocationID,0
2025-05,DOLocationID,0
2025-05,payment_type,0
2025-05,fare_amount,0
2025-05,extra,0
2025-05,mta_tax,0
2025-05,tip_amount,0
2025-05,tolls_amount,0
2025-05,improvement_surcharge,0
2025-05,total_amount,0
2025-05,congestion_surcharge,1196176
2025-05,Airport_fee,1196176
2025-05,cbd_congestion_fee,0
2025-06,VendorID,0
2025-06,tpep_pickup_datetime,0
2025-06,tpep_dropoff_datetime,0
2025-06,passenger_count,1212946
2025-06,trip_distance,0
2025-06,RatecodeID,1212946
2025-06,store_and_fwd_flag,1212946
2025-06,PULocationID,0
2025-06,DOLocationID,0
2025-06,payment_type,0
2025-06,fare_amount,0
2025-06,extra,0
2025-06,mta_tax,0
2025-06,tip_amount,0
2025-06,tolls_amount,0
2025-06,improvement_surcharge,0
2025-06,total_amount,0
2025-06,congestion_surcharge,1212946
2025-06,Airport_fee,1212946
2025-06,cbd_congestion_fee,0
2025-07,VendorID,0
2025-07,tpep_pickup_datetime,0
2025-07,tpep_dropoff_datetime,0
2025-07,passenger_count,1038755
2025-07,trip_distance,0
2025-07,RatecodeID,1038755
2025-07,store_and_fwd_flag,1038755
2025-07,PULocationID,0
2025-07,DOLocationID,0
2025-07,payment_type,0
2025-07,fare_amount,0
2025-07,extra,0
2025-07,mta_tax,0
2025-07,tip_amount,0
2025-07,tolls_amount,0
2025-07,improvement_surcharge,0
2025-07,total_amount,0
2025-07,congestion_surcharge,1038755
2025-07,Airport_fee,1038755
2025-07,cbd_congestion_fee,0
2025-08,VendorID,0
2025-08,tpep_pickup_datetime,0
2025-08,tpep_dropoff_datetime,0
2025-08,passenger_count,886234
2025-08,trip_distance,0
2025-08,RatecodeID,886234
2025-08,store_and_fwd_flag,886234
2025-08,PULocationID,0
2025-08,DOLocationID,0
2025-08,payment_type,0
2025-08,fare_amount,0
2025-08,extra,0
2025-08,mta_tax,0
2025-08,tip_amount,0
2025-08,tolls_amount,0
2025-08,improvement_surcharge,0
2025-08,total_amount,0
2025-08,congestion_surcharge,886234
2025-08,Airport_fee,886234
2025-08,cbd_congestion_fee,0
2025-09,VendorID,0
2025-09,tpep_pickup_datetime,0
2025-09,tpep_dropoff_datetime,0
2025-09,passenger_count,1067195
2025-09,trip_distance,0
2025-09,RatecodeID,1067195
2025-09,store_and_fwd_flag,1067195
2025-09,PULocationID,0
2025-09,DOLocationID,0
2025-09,payment_type,0
2025-09,fare_amount,0
2025-09,extra,0
2025-09,mta_tax,0
2025-09,tip_amount,0
2025-09,tolls_amount,0
2025-09,improvement_surcharge,0
2025-09,total_amount,0
2025-09,congestion_surcharge,1067195
2025-09,Airport_fee,1067195
2025-09,cbd_congestion_fee,0
2025-10,VendorID,0
2025-10,tpep_pickup_datetime,0
2025-10,tpep_dropoff_datetime,0
2025-10,passenger_count,990887
2025-10,trip_distance,0
2025-10,RatecodeID,990887
2025-10,store_and_fwd_flag,990887
2025-10,PULocationID,0
2025-10,DOLocationID,0
2025-10,payment_type,0
2025-10,fare_amount,0
2025-10,extra,0
2025-10,mta_tax,0
2025-10,tip_amount,0
2025-10,tolls_amount,0
2025-10,improvement_surcharge,0
2025-10,total_amount,0
2025-10,congestion_surcharge,990887
2025-10,Airport_fee,990887
2025-10,cbd_congestion_fee,0
2025-11,VendorID,0
2025-11,tpep_pickup_datetime,0
2025-11,tpep_dropoff_datetime,0
2025-11,passenger_count,1014740
2025-11,trip_distance,0
2025-11,RatecodeID,1014740
2025-11,store_and_fwd_flag,1014740
2025-11,PULocationID,0
2025-11,DOLocationID,0
2025-11,payment_type,0
2025-11,fare_amount,0
2025-11,extra,0
2025-11,mta_tax,0
2025-11,tip_amount,0
2025-11,tolls_amount,0
2025-11,improvement_surcharge,0
2025-11,total_amount,0
2025-11,congestion_surcharge,1014740
2025-11,Airport_fee,1014740
2025-11,cbd_congestion_fee,0
2025-12,VendorID,0
2025-12,tpep_pickup_datetime,0
2025-12,tpep_dropoff_datetime,0
2025-12,passenger_count,1195482
2025-12,trip_distance,0
2025-12,RatecodeID,1195482
2025-12,store_and_fwd_flag,1195482
2025-12,PULocationID,0
2025-12,DOLocationID,0
2025-12,payment_type,0
2025-12,fare_amount,0
2025-12,extra,0
2025-12,mta_tax,0
2025-12,tip_amount,0
2025-12,tolls_amount,0
2025-12,improvement_surcharge,0
2025-12,total_amount,0
2025-12,congestion_surcharge,1195482
2025-12,Airport_fee,1195482
2025-12,cbd_congestion_fee,0
