pickup_year,total_valid_trips,avg_daily_trips,peak_month,peak_monthly_trips,avg_monthly_valid_fare_amount,avg_monthly_total_amount,avg_congestion_surcharge,cbd_fee_charged_trips
2024,41132445,112383.72950819672,10,3830854,19.96154876936021,28.753200435569383,2.232427812718964,0
2025,48159365,131943.46575342465,5,4526145,20.2143877353789,28.976737297979707,2.179435661878135,34495616
