pickup_year,pickup_month,trip_count,avg_valid_fare_amount,avg_total_amount_for_valid_fare,avg_valid_trip_distance,avg_trip_duration_min,avg_congestion_surcharge,cbd_fee_available,cbd_fee_charged_trips,cbd_fee_charged_share_pct,days_in_month,avg_daily_trips
2024,1,2961858,18.644830195533057,27.44454341876005,3.727313350604855,14.8371163303575,2.2563756086964077,False,0,,31,95543.80645161291
2024,2,3004906,18.543706300974165,27.29837363801709,3.9499335889733462,15.236363123061636,2.2667132611160747,False,0,,29,103617.44827586207
2024,3,3579447,19.26519055775627,27.896832847557505,4.629813881109607,15.97305220610893,2.2526411663624044,False,0,,31,115466.03225806452
2024,4,3511098,19.570847766190045,28.28983575915013,5.353741848303513,16.309832270892663,2.2454544868551243,False,0,,30,117036.6
2024,5,3720547,20.360833199382864,29.201900218913377,5.415748906482722,17.3331196685147,2.2424598225109738,False,0,,31,120017.64516129032
2024,6,3535959,20.080074269741345,28.803091425435408,5.300413593320327,16.860619891237423,2.239161547930219,False,0,,30,117865.3
2024,7,3073895,20.31094321451132,29.113337778874747,5.161616091737573,16.488240977652133,2.1964594493931817,False,0,,31,99157.90322580645
2024,8,2976214,20.555025730899136,29.372838506767938,5.039647179218111,16.6140296307098,2.174690417201297,False,0,,31,96006.90322580645
2024,9,3630055,20.797277454086743,29.577306503306968,5.872099565386279,18.03055949106372,2.2202446558990103,False,0,,30,121001.83333333333
2024,10,3830854,20.498627185383587,29.46034632896042,5.234477125394283,17.65999072704589,2.230992168590745,False,0,,31,123575.93548387097
2024,11,3642502,19.970871577713574,28.675584335508248,5.471848550388565,17.14554101823416,2.2374108663859174,False,0,,30,121416.73333333334
2024,12,3665110,20.549427738756737,29.496721905534507,5.194592101034215,18.02911333266033,2.221731395055613,False,0,,31,118229.35483870968
2025,1,3471875,18.32816070492347,27.12587746570503,6.013850663187545,14.601531713171322,2.2254288338563617,True,2244670,64.65296129612962,31,111995.96774193548
2025,2,3571137,18.165061821267308,26.671233647161007,6.203023280127648,15.021969109558109,2.231650465980005,True,2596056,72.69550286085355,28,127540.60714285714
2025,3,4121471,19.3039260455077,28.009046168376575,6.77352546345144,15.642195715235324,2.218377605097012,True,2994506,72.65624336553623,31,132950.67741935485
2025,4,3934309,19.452685094600355,28.36223512792718,7.160789493538831,16.3099289989678,2.211169226456151,True,2842987,72.26140600547643,30,131143.63333333333
2025,5,4526145,20.52574140168104,29.353875023697,7.971030805554852,17.77930552379563,2.194038843411727,True,3237036,71.51861020802471,31,146004.67741935485
2025,6,4253104,21.01634844800299,29.640424468741244,7.799206186210053,17.32700513162463,2.1771274631139304,True,3072500,72.24135596025867,30,141770.13333333333
2025,7,3841819,20.590124463568262,29.1290675041972,7.402811951972083,17.030828742842917,2.1411367035927578,True,2792072,72.67578196682352,31,123929.64516129032
2025,8,3525092,20.386169484896445,29.03983319279729,7.362814692498557,17.130820339819028,2.0923323293887965,True,2533703,71.87622337232617,31,113712.64516129032
2025,9,4192416,21.1696239155806,29.925693782103437,7.103612092743901,18.477610920926423,2.148478398665341,True,3037830,72.46012800256463,30,139747.2
2025,10,4359249,20.414556063298143,29.467712462527388,6.949904441476131,18.62175055458712,2.169719508639889,True,3157939,72.44227159311156,31,140620.93548387097
2025,11,4117747,19.658824221468333,28.53795874549004,6.7664006897109,18.280619494916365,2.1813894557149114,True,2968800,72.09767865777086,30,137258.23333333334
2025,12,4245001,22.842799109465293,31.6659938931902,7.26038104972146,18.815366839725115,2.1630646281456767,True,3017517,71.08401152320106,31,136935.51612903227
